Title;DC2
Description;Dataset proposed in the paper Vanhoucke, M., Coelho, J., and Batselier, J. (2016). An overview of project data for integrated project management and control. Journal of Modern Project Management, 3(2):6–21.
Number;720
Format;rcp
ID;Ref1;Ref2;Ref3;LB value;LB ref;LB time;UB value;UB ref;UB time;OPT value;OPT ref;OPT time;CPM;Sum PT;# Act;CNC;OS;SP/I2;AD/I3;LA/I4;I5;TF/I6;# RR;RF/RR;RU/RR;RS/RR;RC/RR;# NR;RF/NR;RU/NR;RS/NR;RC/NR;# Modes
1;npv25\rcpspdc1.rcp;0;0;33;1;10;33;1;10;33;1;10;27;142;25;2,320;0,283;0,125;0,286;0,128;0,535;0,460;4;0,500;2,000;0,531;0,248;0;0,000;0,000;0,000;0,000;1,000
2;npv25\rcpspdc2.rcp;0;0;32;1;20;32;1;20;32;1;20;26;133;25;2,240;0,283;0,125;0,333;0,126;0,637;0,429;4;0,500;2,000;0,477;0,248;0;0,000;0,000;0,000;0,000;1,000
3;npv25\rcpspdc3.rcp;0;0;31;1;10;31;1;10;31;1;10;24;151;25;2,080;0,283;0,167;0,500;0,105;0,649;0,588;4;0,500;2,000;0,583;0,248;0;0,000;0,000;0,000;0,000;1,000
4;npv25\rcpspdc4.rcp;0;0;33;1;10;33;1;10;33;1;10;31;163;25;2,000;0,273;0,125;0,302;0,040;0,486;0,333;4;0,500;2,000;0,645;0,248;0;0,000;0,000;0,000;0,000;1,000
5;npv25\rcpspdc5.rcp;0;0;29;1;0;29;1;0;29;1;0;27;148;25;2,200;0,283;0,125;0,413;0,176;0,789;0,397;4;0,500;2,000;0,520;0,248;0;0,000;0,000;0,000;0,000;1,000
6;npv25\rcpspdc6.rcp;0;0;25;1;10;25;1;10;25;1;10;22;134;25;2,280;0,290;0,125;0,286;0,124;0,625;0,444;4;0,500;2,000;0,562;0,246;0;0,000;0,000;0,000;0,000;1,000
7;npv25\rcpspdc7.rcp;0;0;32;CPM;0;32;1;10;32;1;10;32;137;25;1,880;0,277;0,125;0,365;0,158;0,691;0,365;4;0,500;2,000;0,515;0,248;0;0,000;0,000;0,000;0,000;1,000
8;npv25\rcpspdc8.rcp;0;0;27;1;10;27;1;10;27;1;10;23;131;25;1,640;0,287;0,167;0,375;0,092;0,593;0,537;4;0,500;2,000;0,461;0,248;0;0,000;0,000;0,000;0,000;1,000
9;npv25\rcpspdc9.rcp;0;0;29;CPM;0;29;1;0;29;1;0;29;120;25;1,800;0,283;0,167;0,375;0,045;0,641;0,487;4;0,500;2,000;0,770;0,250;0;0,000;0,000;0,000;0,000;1,000
10;npv25\rcpspdc10.rcp;0;0;32;1;20;32;1;20;32;1;20;25;155;25;2,280;0,287;0,083;0,295;0,244;0,727;0,273;4;0,500;2,000;0,554;0,248;0;0,000;0,000;0,000;0,000;1,000
11;npv25\rcpspdc11.rcp;0;0;42;1;120;42;1;120;42;1;120;24;108;25;1,920;0,273;0,167;0,625;0,160;0,798;0,512;4;0,500;2,000;0,120;0,500;0;0,000;0,000;0,000;0,000;1,000
12;npv25\rcpspdc12.rcp;0;0;48;1;970;48;1;970;48;1;970;17;129;25;2,360;0,280;0,125;0,476;0,171;0,739;0,492;4;0,500;2,000;0,030;0,500;0;0,000;0,000;0,000;0,000;1,000
13;npv25\rcpspdc13.rcp;0;0;57;1;110;57;1;110;57;1;110;27;142;25;2,120;0,283;0,125;0,413;0,155;0,716;0,413;4;0,500;2,000;0,078;0,500;0;0,000;0,000;0,000;0,000;1,000
14;npv25\rcpspdc14.rcp;0;0;56;1;70;56;1;70;56;1;70;28;146;25;2,120;0,277;0,125;0,349;0,108;0,622;0,333;4;0,500;2,000;0,061;0,500;0;0,000;0,000;0,000;0,000;1,000
15;npv25\rcpspdc15.rcp;0;0;64;1;170;64;1;170;64;1;170;30;160;25;2,360;0,287;0,083;0,295;0,221;0,721;0,227;4;0,500;2,000;0,039;0,500;0;0,000;0,000;0,000;0,000;1,000
16;npv25\rcpspdc16.rcp;0;0;47;1;60;47;1;60;47;1;60;17;115;25;2,200;0,283;0,125;0,270;0,127;0,641;0,413;4;0,500;2,000;0,059;0,500;0;0,000;0,000;0,000;0,000;1,000
17;npv25\rcpspdc17.rcp;0;0;41;1;70;41;1;70;41;1;70;19;103;25;2,320;0,280;0,125;0,476;0,171;0,762;0,429;4;0,500;2,000;0,071;0,500;0;0,000;0,000;0,000;0,000;1,000
18;npv25\rcpspdc18.rcp;0;0;52;1;50;52;1;50;52;1;50;24;137;25;2,360;0,287;0,125;0,349;0,139;0,578;0,492;4;0,500;2,000;0,108;0,500;0;0,000;0,000;0,000;0,000;1,000
19;npv25\rcpspdc19.rcp;0;0;54;1;20;54;1;20;54;1;20;28;141;25;2,160;0,287;0,083;0,227;0,210;0,763;0,182;4;0,500;2,000;0,041;0,500;0;0,000;0,000;0,000;0,000;1,000
20;npv25\rcpspdc20.rcp;0;0;57;1;130;57;1;130;57;1;130;26;137;25;2,280;0,287;0,125;0,206;0,110;0,525;0,397;4;0,500;2,000;0,098;0,500;0;0,000;0,000;0,000;0,000;1,000
21;npv25\rcpspdc21.rcp;0;0;84;1;40;84;1;40;84;1;40;27;138;25;1,960;0,283;0,125;0,286;0,114;0,574;0,397;4;0,500;2,000;0,000;0,748;0;0,000;0,000;0,000;0,000;1,000
22;npv25\rcpspdc22.rcp;0;0;84;1;10;84;1;10;84;1;10;23;143;25;2,040;0,280;0,125;0,540;0,208;0,816;0,429;4;0,500;2,000;0,000;0,750;0;0,000;0,000;0,000;0,000;1,000
23;npv25\rcpspdc23.rcp;0;0;94;1;130;94;1;130;94;1;130;28;142;25;2,440;0,273;0,125;0,540;0,168;0,694;0,444;4;0,500;2,000;0,000;0,748;0;0,000;0,000;0,000;0,000;1,000
24;npv25\rcpspdc24.rcp;0;0;100;1;20;100;1;20;100;1;20;26;151;25;2,400;0,283;0,083;0,159;0,101;0,222;0,114;4;0,500;2,000;0,000;0,750;0;0,000;0,000;0,000;0,000;1,000
25;npv25\rcpspdc25.rcp;0;0;87;1;30;87;1;30;87;1;30;28;161;25;2,120;0,280;0,125;0,270;0,128;0,653;0,349;4;0,500;2,000;0,000;0,748;0;0,000;0,000;0,000;0,000;1,000
26;npv25\rcpspdc26.rcp;0;0;91;1;10;91;1;10;91;1;10;27;146;25;2,280;0,280;0,083;0,295;0,216;0,714;0,182;4;0,500;2,000;0,000;0,748;0;0,000;0,000;0,000;0,000;1,000
27;npv25\rcpspdc27.rcp;0;0;68;1;20;68;1;20;68;1;20;19;128;25;2,480;0,287;0,083;0,227;0,169;0,500;0,068;4;0,500;2,000;0,000;0,748;0;0,000;0,000;0,000;0,000;1,000
28;npv25\rcpspdc28.rcp;0;0;94;1;0;94;1;0;94;1;0;28;157;25;2,120;0,280;0,125;0,413;0,227;0,833;0,413;4;0,500;2,000;0,000;0,748;0;0,000;0,000;0,000;0,000;1,000
29;npv25\rcpspdc29.rcp;0;0;86;1;0;86;1;0;86;1;0;32;137;25;2,040;0,280;0,125;0,349;0,109;0,667;0,397;4;0,500;2,000;0,000;0,750;0;0,000;0,000;0,000;0,000;1,000
30;npv25\rcpspdc30.rcp;0;0;80;1;0;80;1;0;80;1;0;26;146;25;2,040;0,280;0,125;0,349;0,044;0,500;0,381;4;0,500;2,000;0,000;0,748;0;0,000;0,000;0,000;0,000;1,000
31;npv25\rcpspdc31.rcp;0;0;34;1;2140;34;1;2140;34;1;2140;24;114;25;2,000;0,277;0,125;0,270;0,081;0,606;0,270;4;1,000;4,000;0,225;0,248;0;0,000;0,000;0,000;0,000;1,000
32;npv25\rcpspdc32.rcp;0;0;41;1;3610;41;1;3610;41;1;3610;29;140;25;2,200;0,277;0,125;0,286;0,108;0,564;0,365;4;1,000;4,000;0,235;0,248;0;0,000;0,000;0,000;0,000;1,000
33;npv25\rcpspdc33.rcp;0;0;38;1;420;38;1;420;38;1;420;24;137;25;2,360;0,283;0,083;0,227;0,185;0,568;0,227;4;1,000;4,000;0,225;0,248;0;0,000;0,000;0,000;0,000;1,000
34;npv25\rcpspdc34.rcp;0;0;37;1;160;37;1;160;37;1;160;26;131;25;2,040;0,280;0,125;0,333;0,126;0,671;0,413;4;1,000;4,000;0,209;0,248;0;0,000;0,000;0,000;0,000;1,000
35;npv25\rcpspdc35.rcp;0;0;43;1;3500;43;1;3500;43;1;3500;28;149;25;2,200;0,277;0,083;0,386;0,146;0,295;0,182;4;1,000;4,000;0,140;0,248;0;0,000;0,000;0,000;0,000;1,000
36;npv25\rcpspdc36.rcp;0;0;30;1;70;30;1;70;30;1;70;21;119;25;2,400;0,283;0,083;0,114;0,116;0,311;0,136;4;1,000;4,000;0,243;0,248;0;0,000;0,000;0,000;0,000;1,000
37;npv25\rcpspdc37.rcp;0;0;44;1;370;44;1;370;44;1;370;27;158;25;1,920;0,287;0,125;0,349;0,169;0,833;0,397;4;1,000;4,000;0,253;0,248;0;0,000;0,000;0,000;0,000;1,000
38;npv25\rcpspdc38.rcp;0;0;48;1;2510;48;1;2510;48;1;2510;32;167;25;1,960;0,280;0,167;0,375;0,110;0,657;0,525;4;1,000;4,000;0,274;0,248;0;0,000;0,000;0,000;0,000;1,000
39;npv25\rcpspdc39.rcp;0;0;39;1;11820;39;1;11820;39;1;11820;19;137;25;2,400;0,277;0,083;0,250;0,130;0,340;0,182;4;1,000;4,000;0,197;0,248;0;0,000;0,000;0,000;0,000;1,000
40;npv25\rcpspdc40.rcp;0;0;35;CPM;0;35;1;0;35;1;0;35;109;25;2,080;0,290;0,125;0,349;0,174;0,757;0,429;4;1,000;4,000;0,242;0,248;0;0,000;0,000;0,000;0,000;1,000
41;npv25\rcpspdc41.rcp;0;0;108;1;10;108;1;10;108;1;10;30;148;25;2,600;0,283;0,125;0,667;0,310;0,870;0,508;4;1,000;4,000;0,004;0,500;0;0,000;0,000;0,000;0,000;1,000
42;npv25\rcpspdc42.rcp;0;0;98;1;0;98;1;0;98;1;0;22;117;25;1,960;0,287;0,125;0,270;0,099;0,641;0,365;4;1,000;4,000;0,006;0,500;0;0,000;0,000;0,000;0,000;1,000
43;npv25\rcpspdc43.rcp;0;0;94;1;0;94;1;0;94;1;0;23;118;25;2,160;0,280;0,083;0,114;0,165;0,595;0,114;4;1,000;4,000;0,017;0,500;0;0,000;0,000;0,000;0,000;1,000
44;npv25\rcpspdc44.rcp;0;0;93;1;0;93;1;0;93;1;0;29;136;25;2,040;0,270;0,125;0,413;0,115;0,643;0,317;4;1,000;4,000;0,013;0,500;0;0,000;0,000;0,000;0,000;1,000
45;npv25\rcpspdc45.rcp;0;0;118;1;0;118;1;0;118;1;0;25;144;25;2,160;0,277;0,125;0,365;0,121;0,561;0,413;4;1,000;4,000;0,029;0,500;0;0,000;0,000;0,000;0,000;1,000
46;npv25\rcpspdc46.rcp;0;0;119;1;0;119;1;0;119;1;0;25;154;25;2,160;0,283;0,083;0,227;0,193;0,667;0,182;4;1,000;4,000;0,005;0,500;0;0,000;0,000;0,000;0,000;1,000
47;npv25\rcpspdc47.rcp;0;0;72;1;10;72;1;10;72;1;10;21;95;25;2,320;0,280;0,125;0,413;0,128;0,686;0,413;4;1,000;4,000;0,012;0,500;0;0,000;0,000;0,000;0,000;1,000
48;npv25\rcpspdc48.rcp;0;0;81;1;0;81;1;0;81;1;0;18;106;25;2,040;0,287;0,125;0,222;0,078;0,257;0,333;4;1,000;4,000;0,019;0,500;0;0,000;0,000;0,000;0,000;1,000
49;npv25\rcpspdc49.rcp;0;0;103;1;0;103;1;0;103;1;0;19;119;25;2,080;0,283;0,125;0,286;0,129;0,676;0,397;4;1,000;4,000;0,035;0,500;0;0,000;0,000;0,000;0,000;1,000
50;npv25\rcpspdc50.rcp;0;0;117;1;0;117;1;0;117;1;0;28;143;25;2,080;0,280;0,083;0,182;0,197;0,632;0,136;4;1,000;4,000;0,016;0,500;0;0,000;0,000;0,000;0,000;1,000
51;npv25\rcpspdc51.rcp;0;0;157;1;0;157;Sum PT;0;157;1;0;37;157;25;2,080;0,273;0,125;0,413;0,126;0,635;0,333;4;1,000;4,000;0,000;0,748;0;0,000;0,000;0,000;0,000;1,000
52;npv25\rcpspdc52.rcp;0;0;139;1;0;139;Sum PT;0;139;1;0;37;139;25;1,760;0,277;0,167;0,438;0,079;0,512;0,412;4;1,000;4,000;0,000;0,748;0;0,000;0,000;0,000;0,000;1,000
53;npv25\rcpspdc53.rcp;0;0;119;1;0;119;Sum PT;0;119;1;0;27;119;25;1,840;0,277;0,125;0,286;0,067;0,433;0,302;4;1,000;4,000;0,000;0,748;0;0,000;0,000;0,000;0,000;1,000
54;npv25\rcpspdc54.rcp;0;0;113;1;0;113;Sum PT;0;113;1;0;21;113;25;2,080;0,277;0,083;0,159;0,178;0,622;0,114;4;1,000;4,000;0,000;0,748;0;0,000;0,000;0,000;0,000;1,000
55;npv25\rcpspdc55.rcp;0;0;132;1;0;132;1;0;132;1;0;26;141;25;2,200;0,283;0,125;0,413;0,160;0,659;0,444;4;1,000;4,000;0,000;0,748;0;0,000;0,000;0,000;0,000;1,000
56;npv25\rcpspdc56.rcp;0;0;144;1;0;144;Sum PT;0;144;1;0;24;144;25;2,200;0,277;0,125;0,286;0,147;0,641;0,381;4;1,000;4,000;0,000;0,748;0;0,000;0,000;0,000;0,000;1,000
57;npv25\rcpspdc57.rcp;0;0;107;1;0;107;Sum PT;0;107;1;0;21;107;25;2,080;0,277;0,125;0,349;0,124;0,700;0,302;4;1,000;4,000;0,000;0,748;0;0,000;0,000;0,000;0,000;1,000
58;npv25\rcpspdc58.rcp;0;0;163;1;0;163;Sum PT;0;163;1;0;34;163;25;1,960;0,270;0,125;0,349;0,152;0,758;0,238;4;1,000;4,000;0,000;0,748;0;0,000;0,000;0,000;0,000;1,000
59;npv25\rcpspdc59.rcp;0;0;151;1;0;151;Sum PT;0;151;1;0;35;151;25;1,880;0,287;0,167;0,438;0,072;0,578;0,450;4;1,000;4,000;0,000;0,748;0;0,000;0,000;0,000;0,000;1,000
60;npv25\rcpspdc60.rcp;0;0;133;1;0;133;Sum PT;0;133;1;0;27;133;25;2,120;0,280;0,125;0,270;0,119;0,657;0,349;4;1,000;4,000;0,000;0,748;0;0,000;0,000;0,000;0,000;1,000
